Gene_ID,B16_antiXBH25_08,B16_antiXBH25_17,B16_antiXBH25_19,B16_ctrl_10,B16_ctrl_11,B16_ctrl_22,CT26_antiXBH25_03,CT26_antiXBH25_21,CT26_antiXBH25_46,CT26_ctrl_04,CT26_ctrl_12,CT26_ctrl_27,CT26_ctrl_34,CT26_ctrl_39,CT26_ctrl_41,LLC_antiXBH25_35,LLC_antiXBH25_43,LLC_antiXBH25_54,LLC_ctrl_29,LLC_ctrl_39,LLC_ctrl_42,EMT6_antiXBH25_4,EMT6_antiXBH25_5,EMT6_antiXBH25_6,EMT6_isotype-ctrl_1,EMT6_isotype-ctrl_3,EMT6_isotype-ctrl_7
Rps3a2,25.07,14.44,25.13,20.48,23.97,20.25,411.52,409.51,678.46,526.63,644.56,592.97,421.19,453.62,507.07,28.02,36.65,43.23,35.6,44.0,35.56,717.66,766.46,836.48,923.97,857.59,717.72
Cchcr1,9.8,6.58,6.65,4.31,6.53,7.75,20.02,22.34,30.7,22.91,25.34,22.9,17.76,23.71,27.78,38.39,37.57,36.65,42.18,51.6,43.78,26.31,27.07,21.35,27.38,34.78,17.27
Olfr1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naa50,95.23,63.7,55.76,36.84,39.26,50.78,46.01,51.6,62.21,56.15,58.13,51.01,54.01,52.37,52.06,63.41,59.02,52.28,63.86,63.71,64.4,68.42,66.61,75.69,78.2,84.53,83.76
Fam114a1,22.26,14.55,18.02,18.28,24.73,21.08,20.44,21.4,22.6,14.96,14.65,20.62,17.29,15.25,21.82,7.31,7.69,10.78,10.64,8.56,10.15,19.45,14.41,16.32,15.44,15.91,24.32
Tollip,29.97,19.83,16.17,21.24,19.4,19.55,16.41,19.32,24.09,15.34,14.66,17.25,12.58,16.7,18.19,14.37,13.75,14.41,15.03,16.94,13.42,26.44,25.42,27.41,36.04,34.5,32.85
D2hgdh,6.11,5.29,6.37,5.4,5.18,6.92,5.04,2.77,3.46,2.29,2.01,5.4,2.57,3.81,1.94,10.54,10.85,11.19,13.34,13.1,14.44,9.86,3.15,3.13,2.58,6.32,4.29
Gm25442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lbx2,0.46,0.49,0.74,0.31,0.0,0.21,0.0,0.16,0.79,0.34,0.33,0.36,0.3,0.0,0.18,1.34,0.7,0.97,0.73,0.68,0.0,0.64,1.15,0.41,1.83,0.42,2.49
Mgat1,22.39,15.92,15.16,16.23,23.23,20.58,16.73,21.07,28.1,20.43,16.65,12.11,11.29,16.64,20.96,23.39,20.82,21.63,29.52,32.48,28.75,48.66,46.17,46.07,43.07,53.6,57.19
Pgam1-ps2,37.06,21.34,24.01,28.73,15.91,25.24,8.66,11.32,17.72,6.65,3.49,6.36,8.11,10.89,8.28,7.52,10.09,10.04,6.79,11.64,6.26,19.28,21.26,15.82,17.64,16.13,21.25
Rpl9-ps1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mcoln3,5.54,7.88,4.53,1.04,0.5,1.61,0.06,0.18,0.04,0.0,0.03,0.04,0.0,0.03,0.0,0.0,0.04,0.13,0.0,0.03,0.0,0.04,0.08,0.04,0.0,0.0,0.09
Mpg,12.38,8.6,10.2,13.37,16.54,16.75,7.46,8.63,13.03,7.5,7.48,5.59,5.68,5.65,9.77,11.35,11.05,16.01,16.67,20.31,16.59,19.96,18.64,20.65,19.78,24.19,17.54
Fam221a,3.41,1.07,1.81,1.11,4.07,1.82,0.08,0.24,0.09,1.19,0.35,0.0,0.23,0.0,0.73,1.07,0.6,1.12,1.52,1.13,2.5,1.97,1.24,0.86,1.8,2.34,1.07
Gm22630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clcn4,21.84,18.21,16.38,16.83,15.2,19.65,14.57,14.68,17.31,11.22,12.38,13.51,11.46,11.29,13.74,13.36,11.94,14.11,16.22,14.93,13.55,13.94,14.63,14.71,15.01,16.14,15.03
Gm9925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0
